Year,Location,Soil Type,Max_Temperature,Min_Teperature,Rainfall,Humidity,Yield Kg/ha
2019,Akaki,Black Soil,28.5,15,811.2,54,160
2019,Akaki,Black Soil,27,14.5,811.2,52,350
2019,Akaki,Black Soil,26.5,14,811.2,51,100
2019,Akaki,Black Soil,27.5,14.5,811.2,53,330
2019,Akaki,Black Soil,25.5,13.5,811.2,53,130
2019,Akaki,Black Soil,26,13,811.2,57,340
2019,Akaki,Black Soil,26,14,811.2,40,160
2019,Akaki,Black Soil,27,14.5,811.2,33,500
2019,Akaki,Black Soil,27.5,14,811.2,40,760
2019,Akaki,Black Soil,27,14,811.2,32,620
2019,Akaki,Black Soil,23.5,14.5,811.2,34,390
2019,Akaki,Black Soil,27,12,811.2,40,400
2019,Akaki,Black Soil,27.5,13.5,811.2,47,330
2019,Akaki,Black Soil,26.5,13,811.2,49,430
2019,Akaki,Black Soil,25.5,13,811.2,46,580
2019,Akaki,Black Soil,22.5,15,811.2,38,430
2019,Akaki,Black Soil,26,13,811.2,38,250
2019,Akaki,Black Soil,25,13.5,811.2,38,680
2019,Akaki,Black Soil,24.5,12.5,811.2,34,1170
2019,Akaki,Black Soil,23,14,811.2,39,610
2019,Akaki,Black Soil,20,13.5,811.2,40,330
2019,Akaki,Black Soil,25,14,811.2,33,560
2019,Akaki,Black Soil,25.5,14.5,811.2,40,500
2019,Akaki,Black Soil,22.5,15.5,811.2,32,390
2019,Akaki,Black Soil,27,15.5,811.2,34,690
2019,Akaki,Black Soil,23.5,15,811.2,40,430
2019,Akaki,Black Soil,27.5,11.5,811.2,47,300
2019,Akaki,Black Soil,26.5,13,811.2,49,1010
2019,Akaki,Black Soil,27,12.5,811.2,46,460
2019,Akaki,Black Soil,26.5,14.5,811.2,38,310
2019,Akaki,Black Soil,27,12.5,811.2,38,310
2019,Akaki,Black Soil,24.5,15,811.2,38,90
2019,Akaki,Black Soil,21.5,13,811.2,34,
2019,Akaki,Black Soil,26.5,12,811.2,39,300
2019,Akaki,Black Soil,26,12,811.2,35,190
2019,Akaki,Black Soil,26,11.5,811.2,41,1090
2019,Akaki,Black Soil,26.5,1.5,811.2,44,310
2019,Akaki,Black Soil,22,11,811.2,32,500
2019,Akaki,Black Soil,27,12,811.2,42,110
2019,Akaki,Black Soil,24,12,811.2,51,440
